"Step","noble-grass-13 - top-p-50","noble-grass-13 - top-p-50__MIN","noble-grass-13 - top-p-50__MAX"
"0","63235","63235","63235"
"1","59103.583333333336","59103.583333333336","59103.583333333336"
"2","54195.333333333336","54195.333333333336","54195.333333333336"
"3","49959.083333333336","49959.083333333336","49959.083333333336"
"4","47302.916666666664","47302.916666666664","47302.916666666664"
"5","45609.583333333336","45609.583333333336","45609.583333333336"
"6","44626.833333333336","44626.833333333336","44626.833333333336"
"7","44138.583333333336","44138.583333333336","44138.583333333336"
"8","43945.5","43945.5","43945.5"
"9","43900.25","43900.25","43900.25"
"10","42126.166666666664","42126.166666666664","42126.166666666664"
"11","39569.916666666664","39569.916666666664","39569.916666666664"
"12","36977.5","36977.5","36977.5"
"13","34877.833333333336","34877.833333333336","34877.833333333336"
"14","33201.25","33201.25","33201.25"
"15","31772.25","31772.25","31772.25"
"16","30603.583333333332","30603.583333333332","30603.583333333332"
"17","29532.583333333332","29532.583333333332","29532.583333333332"
"18","28954.083333333332","28954.083333333332","28954.083333333332"
"19","28374.083333333332","28374.083333333332","28374.083333333332"
"20","27886.25","27886.25","27886.25"
"21","27480.25","27480.25","27480.25"
"22","27148.166666666668","27148.166666666668","27148.166666666668"
"23","26886.75","26886.75","26886.75"
"24","26687.333333333332","26687.333333333332","26687.333333333332"
"25","26544","26544","26544"
"26","26449.25","26449.25","26449.25"
"27","26394.25","26394.25","26394.25"
"28","26369.083333333332","26369.083333333332","26369.083333333332"
"29","26362.583333333332","26362.583333333332","26362.583333333332"
"30","25336.166666666668","25336.166666666668","25336.166666666668"
"31","24379.083333333332","24379.083333333332","24379.083333333332"
"32","23507.583333333332","23507.583333333332","23507.583333333332"
"33","22682.5","22682.5","22682.5"
"34","22016.5","22016.5","22016.5"
"35","21365.666666666668","21365.666666666668","21365.666666666668"
"36","20727.166666666668","20727.166666666668","20727.166666666668"
"37","20097.75","20097.75","20097.75"
"38","19473.916666666668","19473.916666666668","19473.916666666668"
"39","19204.25","19204.25","19204.25"
"40","19013.833333333332","19013.833333333332","19013.833333333332"
"41","18952.416666666668","18952.416666666668","18952.416666666668"
"42","18646.333333333332","18646.333333333332","18646.333333333332"
"43","18145.75","18145.75","18145.75"
"44","17565.833333333332","17565.833333333332","17565.833333333332"
"45","17005.833333333332","17005.833333333332","17005.833333333332"
"46","16498.916666666668","16498.916666666668","16498.916666666668"
"47","16167.666666666666","16167.666666666666","16167.666666666666"
"48","15832.75","15832.75","15832.75"
"49","15489.083333333334","15489.083333333334","15489.083333333334"
"50","15150.916666666666","15150.916666666666","15150.916666666666"
"51","14835","14835","14835"
"52","14560","14560","14560"
"53","14330.666666666666","14330.666666666666","14330.666666666666"
"54","14146.75","14146.75","14146.75"
"55","13998.833333333334","13998.833333333334","13998.833333333334"
"56","13882.5","13882.5","13882.5"
"57","13792.5","13792.5","13792.5"
"58","13722","13722","13722"
"59","13665.25","13665.25","13665.25"
"60","13622.333333333334","13622.333333333334","13622.333333333334"
"61","13587.666666666666","13587.666666666666","13587.666666666666"
"62","13558.666666666666","13558.666666666666","13558.666666666666"
"63","13535.166666666666","13535.166666666666","13535.166666666666"
"64","13516.25","13516.25","13516.25"
"65","13501.5","13501.5","13501.5"
"66","13490.916666666666","13490.916666666666","13490.916666666666"
"67","13484.416666666666","13484.416666666666","13484.416666666666"
"68","13481.25","13481.25","13481.25"
"69","13480.666666666666","13480.666666666666","13480.666666666666"
"70","12955.333333333334","12955.333333333334","12955.333333333334"
"71","12506.25","12506.25","12506.25"
"72","12158","12158","12158"
"73","11814.25","11814.25","11814.25"
"74","11412.833333333334","11412.833333333334","11412.833333333334"
"75","10983.5","10983.5","10983.5"
"76","10572.083333333334","10572.083333333334","10572.083333333334"
"77","10237.916666666666","10237.916666666666","10237.916666666666"
"78","9970.416666666666","9970.416666666666","9970.416666666666"
"79","9717.25","9717.25","9717.25"
"80","9472.333333333334","9472.333333333334","9472.333333333334"
"81","9229.583333333334","9229.583333333334","9229.583333333334"
"82","9013.333333333334","9013.333333333334","9013.333333333334"
"83","8850.333333333334","8850.333333333334","8850.333333333334"
"84","8717.333333333334","8717.333333333334","8717.333333333334"
"85","8591.833333333334","8591.833333333334","8591.833333333334"
"86","8451.083333333334","8451.083333333334","8451.083333333334"
"87","8300.5","8300.5","8300.5"
"88","8142.083333333333","8142.083333333333","8142.083333333333"
"89","7992.5","7992.5","7992.5"
"90","7868.916666666667","7868.916666666667","7868.916666666667"
"91","7757.916666666667","7757.916666666667","7757.916666666667"
"92","7647.25","7647.25","7647.25"
"93","7526.75","7526.75","7526.75"
"94","7420.833333333333","7420.833333333333","7420.833333333333"
"95","7326.75","7326.75","7326.75"
"96","7256.916666666667","7256.916666666667","7256.916666666667"
"97","7204.166666666667","7204.166666666667","7204.166666666667"
"98","7156.833333333333","7156.833333333333","7156.833333333333"
"99","7112.25","7112.25","7112.25"
"100","7050.083333333333","7050.083333333333","7050.083333333333"
"101","6972.833333333333","6972.833333333333","6972.833333333333"
"102","6901.083333333333","6901.083333333333","6901.083333333333"
"103","6841.583333333333","6841.583333333333","6841.583333333333"
"104","6792.5","6792.5","6792.5"
"105","6759.25","6759.25","6759.25"
"106","6734.333333333333","6734.333333333333","6734.333333333333"
"107","6708.333333333333","6708.333333333333","6708.333333333333"
"108","6682.333333333333","6682.333333333333","6682.333333333333"
"109","6653.333333333333","6653.333333333333","6653.333333333333"
"110","6620.916666666667","6620.916666666667","6620.916666666667"
"111","6589.666666666667","6589.666666666667","6589.666666666667"
"112","6559.083333333333","6559.083333333333","6559.083333333333"
"113","6527.333333333333","6527.333333333333","6527.333333333333"
"114","6496.833333333333","6496.833333333333","6496.833333333333"
"115","6467","6467","6467"
"116","6435.583333333333","6435.583333333333","6435.583333333333"
"117","6411.666666666667","6411.666666666667","6411.666666666667"
"118","6389.916666666667","6389.916666666667","6389.916666666667"
"119","6375.833333333333","6375.833333333333","6375.833333333333"
"120","6366.666666666667","6366.666666666667","6366.666666666667"
"121","6360.333333333333","6360.333333333333","6360.333333333333"
"122","6352.833333333333","6352.833333333333","6352.833333333333"
"123","6341.583333333333","6341.583333333333","6341.583333333333"
"124","6326.583333333333","6326.583333333333","6326.583333333333"
"125","6310","6310","6310"
"126","6292.916666666667","6292.916666666667","6292.916666666667"
"127","6277.583333333333","6277.583333333333","6277.583333333333"
"128","6263.666666666667","6263.666666666667","6263.666666666667"
