"Step","noble-grass-13 - relaxed-loss","noble-grass-13 - relaxed-loss__MIN","noble-grass-13 - relaxed-loss__MAX"
"0","12.125","12.125","12.125"
"1","14.0625","14.0625","14.0625"
"2","14.25","14.25","14.25"
"3","13.8125","13.8125","13.8125"
"4","14","14","14"
"5","14","14","14"
"6","14","14","14"
"7","13.9375","13.9375","13.9375"
"8","10.5625","10.5625","10.5625"
"9","13.6875","13.6875","13.6875"
"10","13.6875","13.6875","13.6875"
"11","13.875","13.875","13.875"
"12","13.9375","13.9375","13.9375"
"13","14.125","14.125","14.125"
"14","14.125","14.125","14.125"
"15","13.9375","13.9375","13.9375"
"16","14.0625","14.0625","14.0625"
"17","14","14","14"
"18","14.375","14.375","14.375"
"19","14.4375","14.4375","14.4375"
"20","14.3125","14.3125","14.3125"
"21","14.25","14.25","14.25"
"22","14.25","14.25","14.25"
"23","14.25","14.25","14.25"
"24","14.25","14.25","14.25"
"25","14.25","14.25","14.25"
"26","14.25","14.25","14.25"
"27","14.25","14.25","14.25"
"28","14.3125","14.3125","14.3125"
"29","14.25","14.25","14.25"
"30","14.25","14.25","14.25"
"31","14.3125","14.3125","14.3125"
"32","14.4375","14.4375","14.4375"
"33","14.375","14.375","14.375"
"34","14.5625","14.5625","14.5625"
"35","14.5625","14.5625","14.5625"
"36","14.5","14.5","14.5"
"37","14.375","14.375","14.375"
"38","14.25","14.25","14.25"
"39","14.25","14.25","14.25"
"40","14.125","14.125","14.125"
"41","14.125","14.125","14.125"
"42","14.0625","14.0625","14.0625"
"43","14.25","14.25","14.25"
"44","14.125","14.125","14.125"
"45","13.9375","13.9375","13.9375"
"46","13.875","13.875","13.875"
"47","14.3125","14.3125","14.3125"
"48","13.8125","13.8125","13.8125"
"49","13.8125","13.8125","13.8125"
"50","13.8125","13.8125","13.8125"
"51","13.8125","13.8125","13.8125"
"52","13.75","13.75","13.75"
"53","13.4375","13.4375","13.4375"
"54","13.375","13.375","13.375"
"55","13.25","13.25","13.25"
"56","13.0625","13.0625","13.0625"
"57","12.9375","12.9375","12.9375"
"58","12.8125","12.8125","12.8125"
"59","12.8125","12.8125","12.8125"
"60","12.625","12.625","12.625"
"61","12.6875","12.6875","12.6875"
"62","12.625","12.625","12.625"
"63","12.5625","12.5625","12.5625"
"64","12.5","12.5","12.5"
"65","12.5625","12.5625","12.5625"
"66","12.5625","12.5625","12.5625"
"67","12.625","12.625","12.625"
"68","12.5625","12.5625","12.5625"
"69","12.5625","12.5625","12.5625"
"70","12.5","12.5","12.5"
"71","12.3125","12.3125","12.3125"
"72","12.125","12.125","12.125"
"73","11.9375","11.9375","11.9375"
"74","11.75","11.75","11.75"
"75","11.5","11.5","11.5"
"76","11.3125","11.3125","11.3125"
"77","11.25","11.25","11.25"
"78","11.125","11.125","11.125"
"79","11","11","11"
"80","11","11","11"
"81","10.9375","10.9375","10.9375"
"82","10.875","10.875","10.875"
"83","10.8125","10.8125","10.8125"
"84","10.6875","10.6875","10.6875"
"85","10.625","10.625","10.625"
"86","10.5625","10.5625","10.5625"
"87","10.5","10.5","10.5"
"88","10.4375","10.4375","10.4375"
"89","10.375","10.375","10.375"
"90","10.3125","10.3125","10.3125"
"91","10.25","10.25","10.25"
"92","10.1875","10.1875","10.1875"
"93","10.125","10.125","10.125"
"94","10.1875","10.1875","10.1875"
"95","10.0625","10.0625","10.0625"
"96","10","10","10"
"97","9.9375","9.9375","9.9375"
"98","9.875","9.875","9.875"
"99","9.875","9.875","9.875"
"100","9.8125","9.8125","9.8125"
"101","9.75","9.75","9.75"
"102","9.6875","9.6875","9.6875"
"103","9.625","9.625","9.625"
"104","9.625","9.625","9.625"
"105","9.5625","9.5625","9.5625"
"106","9.5","9.5","9.5"
"107","9.5","9.5","9.5"
"108","9.375","9.375","9.375"
"109","9.375","9.375","9.375"
"110","9.3125","9.3125","9.3125"
"111","9.25","9.25","9.25"
"112","9.1875","9.1875","9.1875"
"113","9.125","9.125","9.125"
"114","9.125","9.125","9.125"
"115","9.0625","9.0625","9.0625"
"116","9.0625","9.0625","9.0625"
"117","9.0625","9.0625","9.0625"
"118","9","9","9"
"119","9","9","9"
"120","8.9375","8.9375","8.9375"
"121","8.875","8.875","8.875"
"122","8.8125","8.8125","8.8125"
"123","8.875","8.875","8.875"
"124","8.875","8.875","8.875"
"125","8.8125","8.8125","8.8125"
"126","8.75","8.75","8.75"
"127","8.8125","8.8125","8.8125"
"128","8.75","8.75","8.75"
"129","8.75","8.75","8.75"
"130","8.75","8.75","8.75"
"131","8.75","8.75","8.75"
"132","8.75","8.75","8.75"
"133","8.6875","8.6875","8.6875"
"134","8.6875","8.6875","8.6875"
"135","8.75","8.75","8.75"
"136","8.6875","8.6875","8.6875"
"137","8.6875","8.6875","8.6875"
"138","8.6875","8.6875","8.6875"
"139","8.6875","8.6875","8.6875"
"140","8.6875","8.6875","8.6875"
"141","8.6875","8.6875","8.6875"
"142","8.6875","8.6875","8.6875"
"143","8.6875","8.6875","8.6875"
"144","8.6875","8.6875","8.6875"
"145","8.6875","8.6875","8.6875"
"146","8.6875","8.6875","8.6875"
"147","8.6875","8.6875","8.6875"
"148","8.6875","8.6875","8.6875"
"149","8.6875","8.6875","8.6875"
"150","8.6875","8.6875","8.6875"
"151","8.625","8.625","8.625"
"152","8.625","8.625","8.625"
"153","8.5625","8.5625","8.5625"
"154","8.5","8.5","8.5"
"155","8.5","8.5","8.5"
"156","8.375","8.375","8.375"
"157","8.4375","8.4375","8.4375"
"158","8.375","8.375","8.375"
"159","8.3125","8.3125","8.3125"
"160","8.3125","8.3125","8.3125"
"161","8.25","8.25","8.25"
"162","8.1875","8.1875","8.1875"
"163","8.1875","8.1875","8.1875"
"164","8.1875","8.1875","8.1875"
"165","8.1875","8.1875","8.1875"
"166","8.125","8.125","8.125"
"167","8.0625","8.0625","8.0625"
"168","8","8","8"
"169","8","8","8"
"170","8","8","8"
"171","8","8","8"
"172","7.9375","7.9375","7.9375"
"173","7.875","7.875","7.875"
"174","7.90625","7.90625","7.90625"
"175","7.875","7.875","7.875"
"176","7.8125","7.8125","7.8125"
"177","7.8125","7.8125","7.8125"
"178","7.8125","7.8125","7.8125"
"179","7.75","7.75","7.75"
"180","7.75","7.75","7.75"
"181","7.71875","7.71875","7.71875"
"182","7.6875","7.6875","7.6875"
"183","7.6875","7.6875","7.6875"
"184","7.65625","7.65625","7.65625"
"185","7.65625","7.65625","7.65625"
"186","7.625","7.625","7.625"
"187","7.5625","7.5625","7.5625"
"188","7.59375","7.59375","7.59375"
"189","7.59375","7.59375","7.59375"
"190","7.5625","7.5625","7.5625"
"191","7.53125","7.53125","7.53125"
"192","7.53125","7.53125","7.53125"
"193","7.5","7.5","7.5"
"194","5.96875","5.96875","5.96875"
"195","7.5625","7.5625","7.5625"
"196","7.4375","7.4375","7.4375"
"197","7.4375","7.4375","7.4375"
"198","7.5","7.5","7.5"
"199","7.4375","7.4375","7.4375"
"200","7.4375","7.4375","7.4375"
"201","7.4375","7.4375","7.4375"
"202","7.4375","7.4375","7.4375"
"203","7.40625","7.40625","7.40625"
"204","7.40625","7.40625","7.40625"
"205","7.375","7.375","7.375"
"206","7.4375","7.4375","7.4375"
"207","7.375","7.375","7.375"
"208","7.4375","7.4375","7.4375"
"209","7.4375","7.4375","7.4375"
"210","7.375","7.375","7.375"
"211","7.34375","7.34375","7.34375"
"212","7.4375","7.4375","7.4375"
"213","7.34375","7.34375","7.34375"
"214","7.28125","7.28125","7.28125"
"215","7.3125","7.3125","7.3125"
"216","7.28125","7.28125","7.28125"
"217","7.3125","7.3125","7.3125"
"218","7.3125","7.3125","7.3125"
"219","7.28125","7.28125","7.28125"
"220","7.28125","7.28125","7.28125"
"221","7.25","7.25","7.25"
"222","7.3125","7.3125","7.3125"
"223","7.28125","7.28125","7.28125"
"224","7.21875","7.21875","7.21875"
"225","7.21875","7.21875","7.21875"
"226","7.25","7.25","7.25"
"227","7.21875","7.21875","7.21875"
"228","7.1875","7.1875","7.1875"
"229","7.1875","7.1875","7.1875"
"230","7.21875","7.21875","7.21875"
"231","7.21875","7.21875","7.21875"
"232","7.1875","7.1875","7.1875"
"233","7.15625","7.15625","7.15625"
"234","7.1875","7.1875","7.1875"
"235","7.15625","7.15625","7.15625"
"236","7.15625","7.15625","7.15625"
"237","7.1875","7.1875","7.1875"
"238","7.125","7.125","7.125"
"239","7.1875","7.1875","7.1875"
"240","7.15625","7.15625","7.15625"
"241","7.125","7.125","7.125"
"242","7.09375","7.09375","7.09375"
"243","7.09375","7.09375","7.09375"
"244","7.09375","7.09375","7.09375"
"245","7.09375","7.09375","7.09375"
"246","7.09375","7.09375","7.09375"
"247","7.0625","7.0625","7.0625"
"248","7.03125","7.03125","7.03125"
"249","7.03125","7.03125","7.03125"
"250","7.0625","7.0625","7.0625"
"251","7.0625","7.0625","7.0625"
"252","7.03125","7.03125","7.03125"
"253","7.03125","7.03125","7.03125"
"254","7.03125","7.03125","7.03125"
"255","7","7","7"
"256","7","7","7"
"257","7","7","7"
"258","7","7","7"
"259","6.96875","6.96875","6.96875"
"260","7","7","7"
"261","6.96875","6.96875","6.96875"
"262","6.96875","6.96875","6.96875"
"263","7","7","7"
"264","6.96875","6.96875","6.96875"
"265","6.9375","6.9375","6.9375"
"266","6.9375","6.9375","6.9375"
"267","6.875","6.875","6.875"
"268","6.90625","6.90625","6.90625"
"269","6.90625","6.90625","6.90625"
"270","6.90625","6.90625","6.90625"
"271","6.875","6.875","6.875"
"272","6.90625","6.90625","6.90625"
"273","6.90625","6.90625","6.90625"
"274","6.875","6.875","6.875"
"275","6.90625","6.90625","6.90625"
"276","6.84375","6.84375","6.84375"
"277","6.875","6.875","6.875"
"278","6.875","6.875","6.875"
"279","6.875","6.875","6.875"
"280","6.84375","6.84375","6.84375"
"281","6.84375","6.84375","6.84375"
"282","6.84375","6.84375","6.84375"
"283","6.84375","6.84375","6.84375"
"284","6.875","6.875","6.875"
"285","6.84375","6.84375","6.84375"
"286","6.875","6.875","6.875"
"287","6.84375","6.84375","6.84375"
"288","6.84375","6.84375","6.84375"
"289","6.84375","6.84375","6.84375"
"290","6.84375","6.84375","6.84375"
"291","6.84375","6.84375","6.84375"
"292","6.8125","6.8125","6.8125"
"293","6.875","6.875","6.875"
"294","6.84375","6.84375","6.84375"
"295","6.84375","6.84375","6.84375"
"296","6.84375","6.84375","6.84375"
"297","6.84375","6.84375","6.84375"
"298","6.8125","6.8125","6.8125"
"299","6.8125","6.8125","6.8125"
"300","6.84375","6.84375","6.84375"
"301","6.84375","6.84375","6.84375"
"302","6.875","6.875","6.875"
"303","6.84375","6.84375","6.84375"
"304","6.84375","6.84375","6.84375"
"305","6.875","6.875","6.875"
"306","6.84375","6.84375","6.84375"
"307","6.84375","6.84375","6.84375"
"308","6.8125","6.8125","6.8125"
"309","6.84375","6.84375","6.84375"
"310","6.84375","6.84375","6.84375"
"311","7","7","7"
"312","6.90625","6.90625","6.90625"
"313","6.875","6.875","6.875"
"314","6.90625","6.90625","6.90625"
"315","6.78125","6.78125","6.78125"
"316","6.75","6.75","6.75"
"317","6.6875","6.6875","6.6875"
"318","6.875","6.875","6.875"
"319","6.625","6.625","6.625"
"320","6.59375","6.59375","6.59375"
"321","6.65625","6.65625","6.65625"
"322","6.6875","6.6875","6.6875"
"323","6.5625","6.5625","6.5625"
"324","6.71875","6.71875","6.71875"
"325","6.46875","6.46875","6.46875"
"326","6.53125","6.53125","6.53125"
"327","6.53125","6.53125","6.53125"
"328","6.46875","6.46875","6.46875"
"329","6.5625","6.5625","6.5625"
"330","6.46875","6.46875","6.46875"
"331","6.46875","6.46875","6.46875"
"332","6.53125","6.53125","6.53125"
"333","6.40625","6.40625","6.40625"
"334","6.5","6.5","6.5"
"335","6.4375","6.4375","6.4375"
"336","6.40625","6.40625","6.40625"
"337","6.4375","6.4375","6.4375"
"338","6.375","6.375","6.375"
"339","6.34375","6.34375","6.34375"
"340","6.34375","6.34375","6.34375"
"341","6.375","6.375","6.375"
"342","6.40625","6.40625","6.40625"
"343","6.3125","6.3125","6.3125"
"344","6.34375","6.34375","6.34375"
"345","6.3125","6.3125","6.3125"
"346","6.34375","6.34375","6.34375"
"347","6.34375","6.34375","6.34375"
"348","6.34375","6.34375","6.34375"
"349","6.28125","6.28125","6.28125"
"350","6.28125","6.28125","6.28125"
"351","6.28125","6.28125","6.28125"
"352","6.3125","6.3125","6.3125"
"353","6.25","6.25","6.25"
"354","6.28125","6.28125","6.28125"
"355","6.25","6.25","6.25"
"356","6.25","6.25","6.25"
"357","6.25","6.25","6.25"
"358","6.25","6.25","6.25"
"359","6.21875","6.21875","6.21875"
"360","6.21875","6.21875","6.21875"
"361","6.21875","6.21875","6.21875"
"362","6.1875","6.1875","6.1875"
"363","6.21875","6.21875","6.21875"
"364","6.1875","6.1875","6.1875"
"365","6.1875","6.1875","6.1875"
"366","6.15625","6.15625","6.15625"
"367","6.15625","6.15625","6.15625"
"368","6.125","6.125","6.125"
"369","6.125","6.125","6.125"
"370","6.15625","6.15625","6.15625"
"371","6.125","6.125","6.125"
"372","6.125","6.125","6.125"
"373","6.125","6.125","6.125"
"374","6.125","6.125","6.125"
"375","6.09375","6.09375","6.09375"
"376","6.09375","6.09375","6.09375"
"377","6.0625","6.0625","6.0625"
"378","6.0625","6.0625","6.0625"
"379","6.0625","6.0625","6.0625"
"380","6.0625","6.0625","6.0625"
"381","6.0625","6.0625","6.0625"
"382","6.0625","6.0625","6.0625"
"383","6.0625","6.0625","6.0625"
"384","6.03125","6.03125","6.03125"
"385","6.03125","6.03125","6.03125"
"386","6.0625","6.0625","6.0625"
"387","6.03125","6.03125","6.03125"
"388","6.0625","6.0625","6.0625"
"389","6.03125","6.03125","6.03125"
"390","6","6","6"
"391","6","6","6"
"392","6","6","6"
"393","6","6","6"
"394","6","6","6"
"395","5.96875","5.96875","5.96875"
"396","5.9375","5.9375","5.9375"
"397","6.03125","6.03125","6.03125"
"398","5.96875","5.96875","5.96875"
"399","5.96875","5.96875","5.96875"
"400","5.9375","5.9375","5.9375"
"401","5.9375","5.9375","5.9375"
"402","5.90625","5.90625","5.90625"
"403","5.90625","5.90625","5.90625"
"404","5.9375","5.9375","5.9375"
"405","5.9375","5.9375","5.9375"
"406","5.90625","5.90625","5.90625"
"407","5.875","5.875","5.875"
"408","5.90625","5.90625","5.90625"
"409","5.90625","5.90625","5.90625"
"410","5.90625","5.90625","5.90625"
"411","5.90625","5.90625","5.90625"
"412","5.875","5.875","5.875"
"413","5.90625","5.90625","5.90625"
"414","5.875","5.875","5.875"
"415","5.875","5.875","5.875"
"416","5.875","5.875","5.875"
"417","5.875","5.875","5.875"
"418","5.90625","5.90625","5.90625"
"419","5.90625","5.90625","5.90625"
"420","5.90625","5.90625","5.90625"
"421","5.84375","5.84375","5.84375"
"422","5.90625","5.90625","5.90625"
"423","5.875","5.875","5.875"
"424","5.84375","5.84375","5.84375"
"425","5.8125","5.8125","5.8125"
"426","5.84375","5.84375","5.84375"
"427","5.8125","5.8125","5.8125"
"428","5.8125","5.8125","5.8125"
"429","5.8125","5.8125","5.8125"
"430","5.8125","5.8125","5.8125"
"431","5.8125","5.8125","5.8125"
"432","5.84375","5.84375","5.84375"
"433","5.8125","5.8125","5.8125"
"434","5.8125","5.8125","5.8125"
"435","5.8125","5.8125","5.8125"
"436","5.78125","5.78125","5.78125"
"437","5.8125","5.8125","5.8125"
"438","5.8125","5.8125","5.8125"
"439","5.8125","5.8125","5.8125"
"440","5.78125","5.78125","5.78125"
"441","5.75","5.75","5.75"
"442","5.75","5.75","5.75"
"443","5.75","5.75","5.75"
"444","5.71875","5.71875","5.71875"
"445","5.71875","5.71875","5.71875"
"446","5.78125","5.78125","5.78125"
"447","5.75","5.75","5.75"
"448","5.75","5.75","5.75"
"449","5.75","5.75","5.75"
"450","5.75","5.75","5.75"
"451","5.75","5.75","5.75"
"452","5.71875","5.71875","5.71875"
"453","5.75","5.75","5.75"
"454","5.6875","5.6875","5.6875"
"455","5.71875","5.71875","5.71875"
"456","5.6875","5.6875","5.6875"
"457","5.6875","5.6875","5.6875"
"458","5.6875","5.6875","5.6875"
"459","5.6875","5.6875","5.6875"
"460","5.6875","5.6875","5.6875"
"461","5.6875","5.6875","5.6875"
"462","5.6875","5.6875","5.6875"
"463","5.65625","5.65625","5.65625"
"464","5.65625","5.65625","5.65625"
"465","5.65625","5.65625","5.65625"
"466","5.6875","5.6875","5.6875"
"467","5.625","5.625","5.625"
"468","5.65625","5.65625","5.65625"
"469","5.65625","5.65625","5.65625"
"470","5.65625","5.65625","5.65625"
"471","5.625","5.625","5.625"
"472","5.65625","5.65625","5.65625"
"473","5.625","5.625","5.625"
"474","5.59375","5.59375","5.59375"
"475","5.59375","5.59375","5.59375"
"476","5.59375","5.59375","5.59375"
"477","5.59375","5.59375","5.59375"
"478","5.59375","5.59375","5.59375"
"479","5.59375","5.59375","5.59375"
"480","5.53125","5.53125","5.53125"
"481","5.59375","5.59375","5.59375"
"482","5.5625","5.5625","5.5625"
"483","5.5625","5.5625","5.5625"
"484","5.5625","5.5625","5.5625"
"485","5.5625","5.5625","5.5625"
"486","5.59375","5.59375","5.59375"
"487","5.5625","5.5625","5.5625"
"488","5.5625","5.5625","5.5625"
"489","5.53125","5.53125","5.53125"
"490","5.5","5.5","5.5"
"491","5.53125","5.53125","5.53125"
"492","5.53125","5.53125","5.53125"
"493","5.5","5.5","5.5"
"494","5.5","5.5","5.5"
"495","5.5","5.5","5.5"
"496","5.4375","5.4375","5.4375"
"497","5.46875","5.46875","5.46875"
"498","5.46875","5.46875","5.46875"
"499","5.46875","5.46875","5.46875"
